[Sun Jul 18 22:25:19 2010] #mikunopop: Shaghar         : わたしは・・・あすたーさんに働きかける努力をしたいです
[Sun Jul 18 22:25:24 2010] #mikunopop: kuranchi        : はじめまして、こんばんは
[Sun Jul 18 22:25:27 2010] #mikunopop: Shaghar         : が、負担をかけるとかではなく
[Sun Jul 18 22:25:28 2010] #mikunopop: kinuko          : konnbannwa-
[Sun Jul 18 22:25:33 2010] #mikunopop: kinuko          : こんばんわ～ｗ
[Sun Jul 18 22:25:58 2010] #mikunopop: Shaghar         : 企画をつくって相談して、こちらでもやれるようにしておいて、あすたーさんをあおぎたいなあと。
[Sun Jul 18 22:26:04 2010] #mikunopop: Mint            : こんばわー、すみませんちょっと離脱します
[Sun Jul 18 22:26:17 2010] #mikunopop: nise_ikkari     : あすたーさんも、後進の頑張りでｺﾐｭが成長していくのはうれしいはず　と思うのですが。
[Sun Jul 18 22:26:29 2010] #mikunopop: saihane         : そのあたり、どこで線を引くのかも含めて、ですね〜
[Sun Jul 18 22:29:43 2010] #mikunopop: saihane         : 元々このコミュはあすたーさんの個人コミュでした
[Sun Jul 18 22:30:07 2010] #mikunopop: saihane         : あすたーさんだけが主をする、そんな場所で。
[Sun Jul 18 22:30:23 2010] #mikunopop: saihane         : おそらくこんなに主が増えたりすることは想定外だったと思うんですよね。だから、
[Sun Jul 18 22:30:24 2010] #mikunopop: nise_ikkari     : でもここまでの成長はあすたーさんひとりでできましたかね？
[Sun Jul 18 22:30:29 2010] #mikunopop: kuranchi        : そうだったんですね、知らなかったです。
[Sun Jul 18 22:30:43 2010] #mikunopop: saihane         : 後進のがんばりであすたーさんが嬉しく思うかどうか、私にはわかりません。
[Sun Jul 18 22:31:09 2010] #mikunopop: SOL             : ニコニコミュニティ自体が、基本的に個人で立ち上げるような仕様ですからね…くどいようですがｗ
[Sun Jul 18 22:31:36 2010] #mikunopop: saihane         : ですね。しかも設立時はまだニコ生の黎明期・・
[Sun Jul 18 22:32:21 2010] #mikunopop: nise_ikkari     : あすたーさんにここにきていただいてひとこと　共同運営おｋ　っていってもらえたらケリがつく気がｗ
[Sun Jul 18 22:33:05 2010] #mikunopop: saihane         : でも、そもそも今の現役主さんたちが共同運営をしたいかどうかは、また別の話なのですよ。
[Sun Jul 18 22:33:26 2010] #mikunopop: Shaghar         : 確かに
[Sun Jul 18 22:33:41 2010] #mikunopop: nise_ikkari     : ∑　なんと、単純ではない・・・のですね・・
[Sun Jul 18 22:34:14 2010] #mikunopop: danjoh          : ただ、ある程度アクティブな管理者さんがいないと不便なのです
[Sun Jul 18 22:34:47 2010] #mikunopop: saihane         : （実はあすたーさんには DM で声をかけたのですが、いまはついった見てないようですね。）
[Sun Jul 18 22:35:17 2010] #mikunopop: nise_ikkari     : それじゃぁ、連絡の取りようが・・・
[Sun Jul 18 22:35:18 2010] #mikunopop: saihane         : そう、いまはほぼ管理者不在で、本音を言うといろいろ不便なのです。この前の放送権利の件も然りで
[Sun Jul 18 22:35:25 2010] #mikunopop: kuranchi        : 間借りさせてもらってる身として、少しでも何かできたらいいなとは思います。ミクノ好きですし
[Sun Jul 18 22:35:45 2010] #mikunopop: Shaghar         : そうですね、最終決定権があすたーさんにあるのは変わっていないですし
[Sun Jul 18 22:35:49 2010] #mikunopop: nise_ikkari     : ぅぅぅみなさん(´；ω；｀)
[Sun Jul 18 22:35:51 2010] #mikunopop: k-sk            : 僕個人の意見ですが、コミュの規模的にも、イベント企画はもちろん、運営をする場合に、大きな負荷がかかり始めると思うので動ける生主さん達で分散させたい、って気持ちはありますね〜。動ける時に動ける(動きたい)人が、ってのが前提ですけど。自分の場合、毎回関わる事が出来る保証が無いので・・。
[Sun Jul 18 22:36:02 2010] #mikunopop: nise_ikkari     : k－skさんｷﾀ━(ﾟ∀ﾟ)━!!!!!
[Sun Jul 18 22:36:14 2010] #mikunopop: SOL             : うーん、いまの仕様上、たとえばおカネ絡むこととかで問題あると、コミュ主の責任を問われかねないので、そんな単純じゃないですよね
[Sun Jul 18 22:36:57 2010] #mikunopop: saihane         : 放送にお金を使う件に限れば、あくまでも個人の裁量だから、そこは問題にならないかな〜と。甘いですかね
[Sun Jul 18 22:37:27 2010] #mikunopop: danjoh          : まあ乗っ取りとかありますからね～
[Sun Jul 18 22:37:36 2010] #mikunopop: saihane         : あ、確かに大賞放送の延長料は誰が負担するんだという話にはなりますね。
[Sun Jul 18 22:38:00 2010] #mikunopop: nise_ikkari     : 動ける時に動きたい人が
[Sun Jul 18 22:38:10 2010] #mikunopop: nise_ikkari     : いいですね
[Sun Jul 18 22:39:17 2010] #mikunopop: nise_ikkari     : 大賞放送の料金・・・・
[Sun Jul 18 22:39:22 2010] #mikunopop: saihane         : 共同運営するとしても、そのあたりを解決するだけの覚悟はいるかもですね。
[Sun Jul 18 22:39:31 2010] #mikunopop: k-sk            : ですね。
[Sun Jul 18 22:39:32 2010] #mikunopop: SOL             : いや放送に関しては、いままでも延長とか、放送主が負担してるからいいと思うんだけど、コンピ作ったりとかしてその通販窓口でミクノコミュ使ったりする場合ですよね
[Sun Jul 18 22:39:43 2010] #mikunopop: Shaghar         : な、るほど・・・
[Sun Jul 18 22:40:06 2010] #mikunopop: saihane         : いや、あくまでも今回の話はニコ生に限定していいと思います。その外の話は、また別途かなと・・。
[Sun Jul 18 22:40:39 2010] #mikunopop: SOL             : たまたま昨日MIKIコミュで販促放送やったけどｗ
[Sun Jul 18 22:41:13 2010] #mikunopop: kinuko          : SOLさんの放送見て放送事故動画を作りましたｗ
[Sun Jul 18 22:41:28 2010] #mikunopop: nise_ikkari     : きぬこさんのモチベーションってｗ
[Sun Jul 18 22:42:19 2010] #mikunopop: saihane         : 販促ということなら、前に悶さんがやってたボーマス前企画放送も該当するかもですね。
[Sun Jul 18 22:42:53 2010] #mikunopop: SOL             : 俺がやった例でいけば、いちおう「ひつじちゃん」というサークルで、MIKIコミュ貸してくださいってスタンスだったんだけど
[Sun Jul 18 22:43:41 2010] #mikunopop: nise_ikkari     : ﾎﾞｰﾏｽ前企画放送また復活してほしいなぁ
[Sun Jul 18 22:43:52 2010] #mikunopop: SOL             : そういうのの対応とかも含めてどうするのかなと。
[Sun Jul 18 22:44:31 2010] #mikunopop: saihane         : そのあたりも厳密に線引きが必要でしょうね。誰が最終的に責任もつのか・・う〜む
[Sun Jul 18 22:44:51 2010] #mikunopop: Shaghar         : わたしたちは生放送しているだけで何の責任がなく、現状でコミュ主の権限負担ができないというのが・・・
[Sun Jul 18 22:46:48 2010] #mikunopop: saihane         : 「ここまでなら生主連合で責任もって運営します」というラインを決める必要があるのかな？
[Sun Jul 18 22:46:49 2010] #mikunopop: SOL             : 実際負担かどうかってのもアスターさんいないとわからないよねｗ
[Sun Jul 18 22:47:16 2010] #mikunopop: saihane         : なんですけどね〜ｗ　でも叩き台はあるといいのかなと。
[Sun Jul 18 22:47:20 2010] #mikunopop: Shaghar         : ラインがあると楽ですね・・・。
[Sun Jul 18 22:47:21 2010] #mikunopop: nise_ikkari     : ついったーもダメ。。。うーん、あすたーさんをホイホイする手段はないものか・・・
[Sun Jul 18 22:47:56 2010] #mikunopop: saihane         : ＜まだ連絡手段はあるからその心配は今はしなくでもおｋですよ
[Sun Jul 18 22:48:05 2010] #mikunopop: nise_ikkari     : ∑
[Sun Jul 18 22:49:13 2010] #mikunopop: nise_ikkari     : でも、いつ連絡がつくか分からない状態なのですよね・・・
[Sun Jul 18 22:49:20 2010] #mikunopop: saihane         : ともあれ、まずは「大賞という言葉を使わせてもらう権利をください」なのか、
[Sun Jul 18 22:49:38 2010] #mikunopop: saihane         : もう一歩踏み込んで考えるのか、その方向性だけでも出したほうがいいのかな、とおもいます。
[Sun Jul 18 22:49:52 2010] #mikunopop: Mint            : 戻りました、たびたび離脱するかもですが・・・とりあえず流れ把握です
[Sun Jul 18 22:50:04 2010] #mikunopop: nise_ikkari     : おかです
[Sun Jul 18 22:50:33 2010] #mikunopop: SOL             : 単純に「大賞を私にやらせてください」ってのは連絡掲示板に書いとけばいいと思うんですけどね
[Sun Jul 18 22:51:02 2010] #mikunopop: Mint            : 私は「企画をどの程度まで主たちでやっていいのか？」を確認していただけるとうれしいですね
[Sun Jul 18 22:51:07 2010] #mikunopop: nise_ikkari     : あすたーさんが特段気難しい人でなければ　おｋ　してもらえると思いマスがねぇ
[Sun Jul 18 22:51:47 2010] #mikunopop: saihane         : ＜性格だけで物事を決められるほど世の中は単純じゃありませんよ。
[Sun Jul 18 22:52:00 2010] #mikunopop: nise_ikkari     : なるほど・・・
[Sun Jul 18 22:54:39 2010] #mikunopop: saihane         : では、とりあえず共同運営という話は「そういう話もあるよね」というくらいに留めておいて、
[Sun Jul 18 22:55:13 2010] #mikunopop: saihane         : そもそも「ミクノ」という看板を使った、大賞のような企画を、主たちが開催してもいいのかを
[Sun Jul 18 22:55:41 2010] #mikunopop: saihane         : あすたーさんに確認して、もしおｋなら、第五世代のおふたりが中心になって企画してみる
[Sun Jul 18 22:55:46 2010] #mikunopop: saihane         : という流れていいのかな？
[Sun Jul 18 22:55:55 2010] #mikunopop: danjoh          : おふたり？
[Sun Jul 18 22:56:04 2010] #mikunopop: Shaghar         : わたしはそれでお願いしたいです～
[Sun Jul 18 22:56:42 2010] #mikunopop: Mint            : そうですね、たまにやるP特集も最小単位の企画枠だと私は思うので、個人で賄える（特集）～コミュレベル（大賞）のどこまでを確認していただけるのがいいと思います
[Sun Jul 18 22:57:15 2010] #mikunopop: kuranchi        : まだまだ思案中の段階なのですが、差し支えなければなにか企画やらせてもらいたいです。
[Sun Jul 18 22:57:38 2010] #mikunopop: SOL             : 俺かってにのっとり企画やったよｗ大阪からｗｗ
[Sun Jul 18 22:57:48 2010] #mikunopop: danjoh          : くらんちさんがんばれ～
[Sun Jul 18 22:57:53 2010] #mikunopop: Mint            : （ちなみに真ん中にうちとはねさんのメドレー枠があるかなと）
[Sun Jul 18 22:58:21 2010] #mikunopop: saihane         : 企画放送自体は、自由にできるよ。というか、前はコミュトップに企画の話もあったはずだけど、今は無いのか・・
[Sun Jul 18 22:58:28 2010] #mikunopop: nise_ikkari     : 理想を言えば、企画ってもっと自由にやれるようなもの　だとうれしいのですが・・・
[Sun Jul 18 22:58:39 2010] #mikunopop: saihane         : （それで話が食い違ってたのか・・な？）
